code,title,points_r1_2021,points_r1_2020,points_r1_2019
AL801,Software Design for Virtual Reality and Gaming,300,303,304
AL802,Software Design in Artificial Intelligence for Clo,313,332,301
AL803,Software Design for Mobile Apps and Connected Devi,350,337,309
AL805,Computer Engineering for Network Infrastructure,321,333,329
AL810,Quantity Surveying,328,319,307
AL811,Civil Engineering,,320,
AL820,Mechanical and Polymer Engineering,327,308,300
AL830,General Nursing,451*,442,410
AL832,Mental Health Nursing,440*,387,387
AL835,Pharmacology,356,,
AL836,Nutrition and Health Science,346,334,352
AL837,Sports Science with Exercise Physiology,357,351,351
AL838,Biotechnology,324,307,302
AL839,Microbiology,325,325,322
AL840,Pharmaceutical Sciences,346,347,328
AL841,Athletic and Rehabilitation Therapy,477,430,423
AL842,Bioveterinary Science,338,313,310
AL843,Physical Activity and Health Science,306,306,310
AL849,Culinary Entrepreneurship,297,,
AL850,Business,309,309,307
AL851,Business and Law,302,295,301
AL852,Accounting,336,309,290
AL854,Sport Management (with international placement),300,302,
AL855,Hospitality Management (with international placeme,309,308,312
AL857,Digital Marketing,304,304,300
AL859,International Business,308,,
AL860,Social Care Practice,301,300,309
AL861,Animation and Illustration (portfolio),#575,578,#615
AL863,Graphic and Digital Design (portfolio),#747,781,#703
AL864,Early Years Care and Education,306,307,307
AL870,Applied Psychology,484*,418,409
CW018,Business (options),307,298,327
CW028,Early Childhood Education and Care,260,252,252
CW038,Art (portfolio),#700,700,#700
CW058,Tourism and Event Management,292,298,252
CW068,Applied Social Studies in Professional Social Care,250,245,251
CW078,Sustainable Farm Management and Agribusiness,270,269,266
CW088,Visual Communications and Design,270,274,309
CW108,Science (options),266,261,261
CW128,Brewing and Distilling,307,263,271
CW138,Sport and Exercise Science,430,423,
CW148,Strength and Conditioning,388,379,
CW188,Sport Rehabilitation and Athletic Therapy,451,451,454
CW208,Computer Games Development,272,279,281
CW238,Software Development,295,297,300
CW248,Information Technology Management,293,285,307
CW258,Cybercrime and IT Security,292,293,300
CW268,Computing in Interactive Digital Art and Design,291,287,274
CW438,Construction (options),260,272,271
CW468,Architectural Technology,291,262,252
CW478,Civil Engineering,465,433,348
CW548,Mechanical Engineering,330,321,310
CW558,Electronic Systems,280,280,279
CW568,Aerospace Engineering,371,380,366
CW578,TV and Media Production,318,325,327
CW708,Law - LLB,292,302,298
CW728,Product Design Innovation,246,252,286
CW748,Early Childhood Education and Care,290,270,265
CW758,Professional Social Care Practice,360,336,290
CW808,Media and Public Relations,247,251,248
CW848,Digital Marketing with Analytics,269,254,279
CW858,Sports Management and Coaching (options  portfolio,#700,700,#700
CW908,Business (options),272,280,260
CW938,Business with Law,270,283,270
CW948,Accounting,319,300,301
PC405,Social  Political and Community Studies,263,253,251
PC410,Arts and Humanities (fulfils Teaching Council requ,262,252,203
PC411,English and History (fulfils Teaching Council requ,243,255,168
CR105,Chemical and Biopharmaceutical Engineering,443,443,432
CR106,Software Development,431,411,351
CR108,Mechanical Engineering,434,434,425
CR109,Structural Engineering,396,394,341
CR110,Automotive Business Management and Technology,336,311,318
CR112,Creative Digital Media at CIT Crawford College of,390,361,335
CR116,Computer Systems,365,332,318
CR121,Music at CIT Cork School of Music,#904,868,#633
CR125,Popular Music at CIT Cork School of Music,#1028,1088,#972
CR130,Musical Theatre at CIT Cork School of Music,#525,548,#500
CR150,Business Information Systems,350,335,326
CR210,Contemporary Applied Art (Ceramics  Glass  Textile,#450,#+matric,#979
CR220,Fine Art at CIT Crawford College of Art and Design,#400,#+matric,#620
CR225,Photography with New Media at CIT Crawford College,#435,#+matric,#920
CR305,Physical Sciences (Common Entry),260,282,279
CR310,IT Management,347,297,282
CR320,Biomedical Science - Offered jointly by CIT and UC,590*,565,546
CR325,Pharmaceutical Biotechnology,466,398,388
CR333,Nutrition and Health Science,425,402,360
CR335,Biological Sciences (Common Entry),473,420,381
CR340,Analytical Chemistry with Quality Assurance,327,251,288
CR360,Instrument Engineering,301,261,291
CR365,Environmental Science and Sustainable Technology,262,253,334
CR370,Agri-Biosciences,368,397,408
CR400,Accounting,315,316,316
CR420,Marketing,290,285,288
CR425,International Business with Language,279,298,300
CR430,Sport and Exercise Management,402,322,
